Gene,Importance
gene_7964,0.011259808937995929
gene_14092,0.010166252166160074
gene_14068,0.008832142317290776
gene_5598,0.00828979772490248
gene_6530,0.00820728772781384
gene_15987,0.007012274076975472
gene_17801,0.006268319172352143
gene_1750,0.005951309193596088
gene_8004,0.005842947015132756
gene_17904,0.005832701956006899
gene_7896,0.005800958570435049
gene_5578,0.005592092701280946
gene_6876,0.005581203337418792
gene_8349,0.00517009000951474
gene_2951,0.005066480147893755
gene_15897,0.004718902935906854
gene_1544,0.004522295806076598
gene_18746,0.00444156485030581
gene_9173,0.004304998553552928
gene_11124,0.00426508258708498
