,precision,recall,f1-score,support
BRCA,0.9836065573770492,1.0,0.9917355371900827,60.0
COAD,0.9375,0.9375,0.9375,16.0
KIRC,1.0,1.0,1.0,30.0
LUAD,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
PRAD,1.0,1.0,1.0,27.0
accuracy,0.9813664596273292,0.9813664596273292,0.9813664596273292,0.9813664596273292
macro avg,0.9768139040680024,0.9732142857142858,0.9749380165289256,161.0
weighted avg,0.9812382385440119,0.9813664596273292,0.9812227298393306,161.0
