,precision,recall,f1-score,support
BRCA,0.9672131147540983,0.9833333333333333,0.9752066115702479,60.0
COAD,1.0,1.0,1.0,16.0
KIRC,1.0,0.9666666666666667,0.9830508474576272,30.0
LUAD,1.0,0.9285714285714286,0.9629629629629629,28.0
PRAD,0.9310344827586207,1.0,0.9642857142857143,27.0
accuracy,0.9751552795031055,0.9751552795031055,0.9751552795031055,0.9751552795031055
macro avg,0.9796495195025438,0.9757142857142858,0.9771012272553105,161.0
weighted avg,0.9762156392529732,0.9751552795031055,0.975171424637397,161.0
