,precision,recall,f1-score,support
BRCA,0.9523809523809523,1.0,0.975609756097561,60.0
COAD,1.0,0.9375,0.967741935483871,16.0
KIRC,1.0,1.0,1.0,30.0
LUAD,1.0,0.9285714285714286,0.9629629629629629,28.0
PRAD,1.0,1.0,1.0,27.0
accuracy,0.9813664596273292,0.9813664596273292,0.9813664596273292,0.9813664596273292
macro avg,0.9904761904761905,0.9732142857142858,0.981262930908879,161.0
weighted avg,0.9822537710736469,0.9813664596273292,0.9812634738916681,161.0
