,precision,recall,f1-score,support
BRCA,0.9523809523809523,1.0,0.975609756097561,60.0
COAD,1.0,1.0,1.0,16.0
KIRC,1.0,1.0,1.0,30.0
LUAD,1.0,0.9642857142857143,0.9818181818181818,28.0
PRAD,1.0,0.9259259259259259,0.9615384615384616,27.0
accuracy,0.9813664596273292,0.9813664596273292,0.9813664596273292,0.9813664596273292
macro avg,0.9904761904761905,0.978042328042328,0.9837932798908409,161.0
weighted avg,0.9822537710736469,0.9813664596273292,0.981298341107461,161.0
