,precision,recall,f1-score,support
BRCA,0.967741935483871,1.0,0.9836065573770492,60.0
COAD,1.0,1.0,1.0,16.0
KIRC,1.0,1.0,1.0,30.0
LUAD,1.0,0.9285714285714286,0.9629629629629629,28.0
PRAD,1.0,1.0,1.0,27.0
accuracy,0.9875776397515528,0.9875776397515528,0.9875776397515528,0.9875776397515528
macro avg,0.9935483870967742,0.9857142857142858,0.9893139040680025,161.0
weighted avg,0.9879783610498898,0.9875776397515528,0.9874494186682355,161.0
